PO,OM,Or,TY,TT,X,Y,Z,pvm,nro,AL,KL,SA,Si,KI,Sa,liSa,Hk,Sr,SrMr,Ki,Mr,Hksa,Sasi,Srmr,Hksr,Ka,Paattymissyvyys
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709272.244,247563.505,30.852,17022020,22,000.60  -,,[],[],[],"['000.80', '001.00']",[],[],[],[],['001.48'],"['001.40', '002.12']",[],[],[],[],[],002.12
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709267.898,247631.137,35.859,17022020,20,000.40  -,,[],[],[],[],[],[],[],[],['000.90'],['000.80'],[],[],['001.94'],[],[],001.94
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6709315.971,247729.254,45.503,14022022,15,0.20,,[],[],[],['0.40'],[],[],[],[],['0.84'],[],[],[],[],[],[],1.20
,Kaarinan kaupunki,Kaarinan kaupunki,20005,SI  0 0,6709460.888,247887.415,31.553,18022022,81,0.00,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],3.50
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6709359.579,247899.271,41.342,14022022,2,0.20,,[],[],[],['0.40'],[],[],[],[],['0.78'],[],[],[],[],[],[],0.80
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6709339.714,248012.12,35.878,17022022,5,0.20,,[],[],[],['1.20'],[],[],[],[],['2.48'],[],[],[],[],[],[],2.64
,Kaarinan kaupunki,Kaarinan kaupunki,1483,PA  0 0,6709210.486,246123.617,28.319,22012014,11,0.00,,[],[],[],"['0.40', '0.60', '0.80', '1.00', '1.20', '1.40', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20']",[],[],[],[],[],[],[],[],[],[],[],11.74
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,6709023.314,246125.664,27.427,10122020,7,000.00  -,,[],[],[],['000.20'],[],[],"['000.60', '006.05']",[],[],[],[],[],[],[],[],006.22
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA - 0,6709072.394,246217.277,26.26,10122020,8,000.00  -,,[],[],[],"['000.20', '005.40']",[],['005.20'],[],[],[],['005.94'],[],[],[],[],[],005.95
,Kaarinan kaupunki,Kaarinan kaupunki,14538,PA      -       0,6709177.564,246217.519,26.709,14122020,13,001.20  -,,[],[],[],['001.60'],[],[],[],[],[],['012.00'],[],[],[],[],[],012.82
,Kaarinan kaupunki,Kaarinan kaupunki,1484,PA  0 0,6709197.317,246442.341,25.909,27012014,24,0.00,,[],[],[],"['0.40', '0.60', '1.00', '1.20', '1.40', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20', '3.40', '3.60', '3.80', '4.00', '4.20', '4.40', '4.60', '4.80', '5.00', '5.20', '5.40', '5.60', '5.80', '6.00', '6.20', '6.40', '6.60', '6.80', '7.00', '7.20', '7.40', '7.60', '7.80', '8.00', '8.20', '8.40', '8.60', '8.80', '9.00', '9.20', '9.40', '9.60', '9.80', '10.00', '10.20', '10.40', '10.60', '10.80', '11.00', '11.20', '11.40', '11.60', '11.80', '12.00', '12.20', '12.40', '12.60', '12.80', '13.00', '13.20', '13.40']",[],[],[],[],[],[],[],[],[],[],[],17.48
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6709154.807,247274.438,32.944,10022022,63,0.20,,[],[],[],['0.40'],[],[],[],[],['1.14'],[],[],[],[],[],[],1.18
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709177.435,247419.916,28.199,09022020,75,000.60  -,,[],[],[],['000.80'],[],['002.80'],[],[],['003.91'],"['003.60', '003.91']",[],[],['003.40'],[],[],003.91
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6709090.151,247483.684,30.95,10022020,53,000.40  -,,[],[],[],['000.60'],[],[],[],[],['001.12'],"['001.00', '001.60']",[],[],[],[],[],001.60
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,6708865.166,247618.373,29.275,11022022,43,0.20,,[],[],[],"['0.60', '1.80']",[],[],[],[],['5.46'],[],[],[],[],[],[],5.46
,Kaarinan kaupunki,Kaarinan kaupunki,20005 -,NO 1 - - -,6709106.452,247689.314,29.253,16032022,82,,,[],[],[],"['0.00', '1.00', '2.00', '3.00']",[],[],[],[],[],[],[],[],[],[],[],
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,6708972.308,247742.391,29.251,11022020,37,000.60  -,,[],[],[],"['000.80', '006.00']",[],[],[],[],['012.05'],[],[],[],[],[],[],012.06
,Kaarinan kaupunki,Kaarinan kaupunki,1480,PA  0 0,6709560.691,246124.08,29.095,17012014,1,0.00,,[],[],[],"['0.40', '0.60', '0.80', '1.00', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20', '3.40', '3.60', '3.80', '4.00', '4.20', '4.40', '4.60', '4.80', '5.00', '5.20', '5.40', '5.60', '5.80', '6.00', '6.20', '6.40', '6.60', '6.80', '7.00', '7.20', '7.40', '7.60', '7.80', '8.00', '8.20', '8.40', '8.60', '8.80', '9.00', '9.20', '9.40', '9.60', '9.80', '10.00', '10.20', '10.40', '10.60', '10.80', '11.00', '11.20', '11.40', '11.60', '11.80', '12.00', '12.20', '12.40', '12.60', '12.80', '13.00', '13.20', '13.40', '13.60', '13.80', '14.00', '14.20', '14.40']",[],[],[],[],[],[],[],[],[],[],[],19.58
,Kaarinan kaupunki,Kaarinan kaupunki,1480,PA  0 0,6709334.285,246200.698,27.766,17012014,9,0.00,,[],[],[],"['0.40', '0.80', '1.00', '1.20', '1.40', '1.60', '1.80', '2.00', '2.20', '2.40', '2.60', '2.80', '3.00', '3.20', '3.40', '3.60', '3.80', '4.00', '4.20', '4.40', '4.60', '4.80', '5.00', '5.20', '5.40', '5.60', '5.80', '6.00', '6.20', '6.40', '6.60', '6.80', '7.00', '7.20', '7.40', '7.60', '7.80', '8.00', '8.20', '8.40', '8.60', '8.80', '9.00', '9.20', '9.40', '9.60', '9.80', '10.00', '10.20', '10.40', '10.60', '10.80', '11.00', '11.20', '11.40', '11.60', '11.80', '12.00', '12.20', '12.40', '12.60', '12.80', '13.00', '13.20', '13.40', '13.60', '13.80', '14.00', '14.20', '14.40']",[],[],[],[],[],[],[],[],[],[],[],15.22
